sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
4.3278;4.6579;8.1942;2.0879;4.8395;8.2699;3.0228;1.1317;-1.173;0.5769;-1.0433;0.5399;58.0;-25.73;27.64;16.11;55.32;-27.37;-9.36;2.0;59.13;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;36;2021-02-12 10:26:21:659
4.7587;6.4655;7.5454;1.0972;4.6898;8.5424;8.5356;1.2287;2.2956;-1.1701;0.3799;-1.2903;58.0;-26.05;24.67;16.64;55.32;-27.37;-9.36;2.0;59.13;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;136;2021-02-12 10:26:21:759
-0.7815;4.0929;15.961;1.0972;4.6898;8.5424;8.5356;1.2287;2.2956;2.1279;-3.1014;-2.9542;64.0;-27.64;9.09;23.76;93.29;-28.57;-7.32;2.0;59.13;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;235;2021-02-12 10:26:21:858
-3.202;3.5015;15.2595;1.8946;7.3091;6.2576;-6.3469;-4.3043;9.4518;3.0547;-1.1072;-1.8016;64.0;-23.38;10.5;25.8;103.17;-48.19;-16.84;2.0;58.519;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;336;2021-02-12 10:26:21:959
-5.917;-3.6978;13.4232;1.738;9.1534;3.0602;-5.793;-13.5097;8.1099;4.659;1.3226;2.223;4.0;-23.38;10.5;25.8;103.17;-48.19;-16.84;2.0;58.519;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;436;2021-02-12 10:26:22:059
-5.917;-3.6978;13.4232;4.4718;8.7252;0.2102;-1.2693;-13.6296;2.35;1.9415;5.1938;4.2299;4.0;-23.15;28.68;13.48;68.4;-68.97;-29.59;2.0;58.519;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;536;2021-02-12 10:26:22:159
31.5355;4.1791;-15.6975;7.205;6.515;1.3464;26.2352;-1.3243;-18.2064;1.9415;5.1938;4.2299;2.0;-10.04;38.94;-2.74;354.62;-62.84;-87.31;2.0;45.588;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;637;2021-02-12 10:26:22:260
14.8551;-7.2077;3.7961;5.2177;7.2984;3.9597;11.7444;-12.4698;-2.3066;-2.2546;1.7935;-1.8836;2.0;-10.04;38.94;-2.74;354.62;-62.84;-87.31;2.0;45.588;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;739;2021-02-12 10:26:22:362
5.9845;-5.6778;16.5524;5.2177;7.2984;3.9597;11.7444;-12.4698;-2.3066;-4.4309;-2.4942;-5.2083;8.0;-22.54;28.4;9.2;36.68;-48.09;-52.8;2.0;45.588;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;837;2021-02-12 10:26:22:460
12.978;-2.6875;28.8993;3.6739;6.8108;6.0238;3.0748;-12.113;10.421;-2.5294;-8.677;-4.2346;8.0;-19.92;8.3;28.33;96.51;-43.99;-31.38;2.0;46.587;12.355638;76.596466;2211.94;NaN;;64.51613;;0 / 0;936;2021-02-12 10:26:22:559
